Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),Vm (cm^3/mol),rho (g/cm^3),nu  (Pa/s),signu (Pa/s),MgO (mol %),SiO2 (mol %),H2O (mol %),#Mg,#Si,#O,#H,Source
En,0.86932,0.05007,2992.65054,0.54924,38.85084,2.583951853,0.00228,5.15E-04,50.00,50.00,0.00,32,32,96,0,This Study
Bru,2.58205,0.04378,1770.15935,0.43226,40.06904411,9.027728837,4.95E-04,1.46E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,4.21473,0.040587,1770.75839,0.33714,38.24772392,8.617377526,5.89E-04,9.95E-05,50.00,0.00,50.00,32,0,64,64,This Study
En,5.01188,0.0742,2992.23498,0.49803,34.965756,2.871057614,0.00376,0.00103,50.00,50.00,0.00,32,32,96,0,This Study
Bru,5.63992,0.03868,2955.01199,0.61924,40.06904411,2.145486919,3.16E-04,9.97E-05,50.00,0.00,50.00,32,0,64,64,This Study
Bru,6.38076,0.03875,1771.30261,0.54935,36.42640374,8.207026215,7.83E-04,4.91E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,7.61456,0.040518,2954.55582,0.35132,38.24772392,2.247652963,3.71E-04,1.72E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,9.18422,0.042403,1770.92706,0.51261,34.60508355,7.796674904,0.00157,4.91E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,10.21402,0.050092,2955.3913,0.65861,36.42640374,2.360035611,4.88E-04,1.34E-04,50.00,0.00,50.00,32,0,64,64,This Study
En,11.95951,0.07347,2991.87019,0.33507,31.080672,3.229939816,0.00367,0.00185,50.00,50.00,0.00,32,32,96,0,This Study
Bru,12.84263,0.033454,1771.44922,0.37206,32.78376336,7.386323594,0.0016,9.06E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,13.51691,0.039424,2955.21134,0.42394,34.60508355,2.484248012,5.26E-04,1.93E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,17.72374,0.050675,2955.43953,0.3401,32.78376336,2.62226179,7.02E-04,1.98E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,17.88633,0.051277,1771.42203,0.3025,30.96244318,6.975972283,0.00244,7.39E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,20.8918,0.053363,1771.6697,0.28529,30.05178308,6.770796627,0.00417,0.00126,50.00,0.00,50.00,32,0,64,64,This Study
Bru,23.32065,0.050913,2955.54264,0.35704,30.96244318,2.776512484,0.0011,4.28E-04,50.00,0.00,50.00,32,0,64,64,This Study
Bru,24.38293,0.063099,1771.92894,0.40508,29.14112299,6.565620972,0.00447,0.00116,50.00,0.00,50.00,32,0,64,64,This Study
En,24.69447,0.1028,2991.08706,0.53289,27.195588,3.69135979,0.00724,0.00464,50.00,50.00,0.00,32,32,96,0,This Study
